libellé index,2020_11,2020_10,2020_09,2020_08,2020_07,2020_06,2020_05,2020_04,2020_03,2020_02,2020_01
"Destructions, cruautés et autres délits envers les animaux",3,2,4,4,2,5,0,4,4,2,2
Atteintes à l'environnement,1,4,0,1,2,0,0,1,0,0,1
Chasse et pêche,0,0,0,0,0,0,0,0,0,0,0
Faux documents d'identité,41,28,10,23,15,14,22,8,10,24,20
Faux documents concernant la circulation des véhicules,16,12,9,8,5,6,17,6,7,4,15
Autres faux documents administratifs,9,9,9,10,9,15,16,2,12,14,19
Faux en écriture publique et authentique,0,1,0,2,1,1,1,0,3,5,1
Autres faux en écriture,30,27,28,14,11,33,12,6,10,18,18
Fausse monnaie,14,7,3,3,4,3,7,0,11,11,8
Contrefaçons et fraudes industrielles et commerciales,3,6,2,4,1,1,0,0,1,1,6
Contrefaçons littéraires et artistique,0,0,2,0,0,0,0,0,2,0,1
Falsification et usages de chèques volés,1285,1019,762,985,1120,890,291,280,521,1071,1159
Falsification et usages de cartes de crédit,527,825,861,739,806,597,328,167,466,786,862
Escroqueries et abus de confiance,1308,1234,1337,996,1225,1129,808,370,596,1080,1137
Infractions à la législation sur les chèques,2,0,0,0,3,2,0,0,0,1,0
Travail clandestin,43,48,51,51,45,50,20,13,41,55,60
Emploi d'étranger sans titre de travail,12,14,11,18,23,15,3,0,14,27,30
Marchandage - prêt de main d'oeuvre,1,0,0,1,0,0,0,0,0,0,1
Index non utilisé,0,0,0,0,0,0,0,0,0,0,0
Index non utilisé,0,0,0,0,0,0,0,0,0,0,0
"Banqueroutes, abus de biens sociaux et autres délits de société",9,9,10,6,8,7,5,3,3,6,11
Index non utilisé,0,0,0,0,0,0,0,0,0,0,0
Index non utilisé,0,0,0,0,0,0,0,0,0,0,0
"Prix illicittes, publicité fausse et infractions aux règles de la concurrence",0,4,1,2,1,0,2,9,11,2,2
Achats et ventes sans factures,0,0,0,0,0,0,0,0,0,0,0
Infractions à l'exercice d'une profession règlementée,21,38,26,27,35,32,17,2,25,42,43
Infractions au droit de l'urbanisme et de la construction,0,4,3,0,1,1,1,1,3,0,0
Fraudes fiscales,8,11,4,2,4,5,3,0,4,15,11
Autres délits économiques et financiers,289,245,258,168,243,251,154,134,120,324,218
Autres délits,958,841,912,736,844,786,571,288,545,879,880
